emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,emg9,emg10,emg11,emg12,emg13,emg14,emg15,emg16,emg17,emg18,emg19,emg20,emg21,emg22,emg23,emg24,emg25,emg26,emg27,emg28,emg29,emg30,emg31
0.01464,0.62991,0.03101,0.00894,0.06409,0.01485,0.04653,0.45902,0.04217,0.02511,0.04106,0.31318,0.02872,0.03893,0.02506,-0.00871,0.75966,0.02034,0.00869,0.00160,0.57384,0.00543,0.36496,0.76660,0.58820,0.72574,0.67719,0.67380,0.77339,0.00561,0.32020,0.66820
-0.01993,0.53177,0.00677,0.01442,0.02605,0.00206,0.02048,0.67278,0.03410,0.03864,0.01273,0.32220,0.02950,0.01498,-0.00538,0.03953,0.57579,0.06516,0.03716,0.01079,0.42379,0.02365,0.62846,0.28066,0.69198,0.38232,0.68761,0.39283,0.47488,0.06124,0.66395,0.31682
0.06841,0.57076,0.00831,0.00993,0.01947,0.02565,0.02718,0.53163,0.05337,0.06964,0.04714,0.50313,-0.00737,0.03826,-0.00243,0.02473,0.56498,0.01533,0.06277,0.02638,0.51298,0.02960,0.40829,0.57995,0.62537,0.60916,0.57855,0.62008,0.61816,0.04529,0.66653,0.31911
0.01428,0.41314,0.05182,0.04385,0.01976,0.02932,0.01583,0.35124,0.04915,0.03163,0.01771,0.68278,0.03889,0.01245,0.03168,0.00318,0.72306,-0.01094,0.03822,0.02779,0.54366,0.03915,0.58580,0.70993,0.50446,0.63577,0.39432,0.55616,0.48792,0.01606,0.71165,0.39041
0.01921,0.54867,0.03369,0.02934,0.00944,0.05009,0.03130,0.29545,0.07047,0.04546,0.04296,0.39445,0.02470,0.02041,0.01808,0.03444,0.25047,0.00785,-0.00680,0.01537,0.38283,0.05455,0.64125,0.44199,0.53231,0.39197,0.26152,0.44510,0.43281,0.02356,0.53909,0.39264
0.02868,0.22896,0.03089,0.02394,0.04942,-0.01787,0.02552,0.44189,0.01381,0.00754,0.03049,0.33283,0.00618,0.08840,0.05046,0.00834,0.45301,-0.00076,0.03205,0.04617,0.45956,0.03962,0.49699,0.27786,0.63370,0.48684,0.48311,0.76496,0.32262,0.02413,0.68793,0.26889
-0.02150,0.47560,0.04168,0.04865,0.04271,0.02765,0.02326,0.34120,0.00861,0.02713,-0.03442,0.54979,0.02383,0.04822,-0.01250,0.01831,0.66770,0.06898,0.00690,0.00524,0.42323,0.00451,0.35549,0.71558,0.32205,0.61368,0.55272,0.53630,0.56377,0.02043,0.63810,0.38187
0.03312,0.24219,0.02265,0.01346,-0.01407,0.03966,0.03244,0.42109,0.03966,0.03869,-0.01151,0.34234,0.02539,0.03351,0.04567,-0.01837,0.70191,0.01053,0.02608,0.00961,0.42511,0.00374,0.33498,0.77234,0.34725,0.37158,0.51277,0.55703,0.35158,-0.00887,0.59440,0.54887
0.01293,0.47186,0.00848,0.00253,0.01994,0.02388,0.05390,0.62982,0.03419,0.03162,0.00311,0.47678,0.01523,0.02149,0.00980,0.00723,0.37148,0.08303,0.02449,0.01553,0.57749,0.07751,0.55982,0.65846,0.66953,0.48528,0.53236,0.72008,0.36055,0.04084,0.36779,0.59350
0.01755,0.70900,0.01000,0.00981,0.01944,0.01771,0.01206,0.66696,0.03638,0.02432,0.02601,0.26937,0.05226,0.03437,0.05526,-0.00165,0.42247,0.02011,0.05169,0.04108,0.26885,0.00297,0.45423,0.68232,0.53689,0.26278,0.54520,0.60523,0.46375,0.03619,0.70549,0.30326
0.05448,0.39048,0.03034,0.03104,0.01379,0.01037,0.06497,0.63336,0.01196,0.01424,0.00561,0.31818,0.03854,0.00728,0.00356,0.01498,0.50273,0.01239,0.05256,0.03476,0.44595,0.02033,0.25307,0.71580,0.34130,0.40617,0.65680,0.64627,0.39834,0.03669,0.29294,0.41947
0.03912,0.42763,0.04586,0.02282,0.03099,0.01432,0.03498,0.57768,0.02466,0.02811,0.05266,0.33063,0.03613,0.02631,0.04397,0.00410,0.38033,0.00332,0.03019,0.04328,0.65290,0.05036,0.69677,0.46355,0.66431,0.61346,0.24494,0.72618,0.47613,0.01457,0.33098,0.32038
0.00330,0.60400,0.04726,0.03088,0.04854,0.02406,0.03717,0.47065,0.06826,0.02053,0.01927,0.42653,0.01623,-0.02844,0.05935,0.03597,0.72144,0.04091,0.05657,0.05736,0.37822,-0.01585,0.53636,0.29035,0.46375,0.73166,0.36007,0.23668,0.50773,-0.00025,0.40062,0.52352
0.00729,0.66819,0.03781,0.05504,0.01018,0.06060,0.02780,0.48605,0.04225,0.03435,0.05071,0.27934,0.00010,0.01130,0.00405,0.04745,0.63893,0.00945,0.04349,0.05999,0.50173,0.04029,0.25761,0.52962,0.78696,0.71454,0.45158,0.39366,0.39538,0.01692,0.66586,0.27979
0.00460,0.39563,-0.00124,0.04699,0.01509,0.02867,0.01902,0.40275,0.05621,0.05054,0.02329,0.67134,0.02595,0.04296,0.09174,0.04842,0.40095,0.08136,0.01306,0.00411,0.59849,0.05011,0.71344,0.33066,0.25968,0.47422,0.41391,0.66110,0.29113,0.05679,0.71802,0.36192
0.05334,0.77080,0.02861,0.01973,0.04950,0.04693,0.03270,0.64119,-0.01498,0.02176,0.02952,0.36886,0.04009,0.02790,0.00561,0.00147,0.24642,-0.00937,0.06339,0.01219,0.49254,-0.01513,0.49072,0.69632,0.73090,0.71959,0.70852,0.39796,0.42663,0.02123,0.33331,0.55346
0.01990,0.44839,0.04555,0.02518,0.03057,0.03671,0.00662,0.59218,0.06487,0.02414,-0.02120,0.41243,0.04498,0.02672,0.05026,0.03643,0.57012,0.01452,0.02501,0.06330,0.29049,0.01388,0.37282,0.31455,0.63067,0.32169,0.62420,0.69865,0.45254,-0.00165,0.58936,0.49394
0.04735,0.32937,0.02881,0.05345,0.00156,-0.00258,0.03047,0.46177,0.00684,0.05274,-0.00471,0.44688,0.06743,0.03644,0.06153,0.01746,0.30412,0.03501,0.02451,0.03389,0.24234,0.02829,0.32533,0.31582,0.47453,0.64522,0.62167,0.72159,0.59939,0.03057,0.57365,0.62786
0.03472,0.54383,0.00273,0.02834,0.00504,0.02359,0.03786,0.74798,0.02731,0.06391,0.03846,0.46233,0.01690,0.04056,0.03078,0.07468,0.29650,0.03367,0.04110,0.03722,0.53024,0.03376,0.35824,0.36607,0.37260,0.35700,0.31573,0.28045,0.47882,0.02763,0.35852,0.56432
0.02869,0.27843,0.03842,0.00568,-0.00248,0.01930,0.04253,0.30251,0.04435,0.03155,0.01612,0.60434,0.01990,0.05136,0.02177,0.04711,0.28762,0.01466,0.02989,0.05045,0.67880,-0.00120,0.40817,0.30462,0.61464,0.64063,0.39985,0.63304,0.27441,0.03978,0.65365,0.50304
0.01292,0.45323,0.06395,-0.00781,0.05282,0.02357,0.06359,0.45894,0.02045,0.05343,0.01063,0.44782,0.03355,-0.00434,0.01947,0.03572,0.42838,0.02309,0.02642,0.01712,0.32774,0.03924,0.64821,0.62198,0.40080,0.69962,0.59184,0.48960,0.76956,0.02869,0.72405,0.41742
0.06298,0.60509,0.02842,0.38705,0.07789,0.03053,0.05162,0.29639,0.03339,0.03642,0.04483,0.27550,0.05425,0.00717,0.02247,0.01016,0.63615,0.01010,-0.00054,0.04950,0.64481,0.07621,0.58574,0.36378,0.39650,0.45337,0.69601,0.71789,0.28596,0.03305,0.40468,0.72219
0.07410,0.68727,0.03978,0.63977,0.01185,0.07479,0.03398,0.66621,-0.03165,0.03540,0.01402,0.32498,0.04153,0.03824,0.02814,0.00095,0.73296,0.01068,0.01298,0.04636,0.53971,0.05548,0.72891,0.51362,0.62732,0.69389,0.71623,0.44206,0.56333,0.04889,0.29384,0.42980
0.00221,0.66654,0.03896,0.56528,-0.01224,0.02041,0.03626,0.51037,0.06516,-0.00448,0.00323,0.45780,0.03321,0.03915,0.03856,0.03299,0.61476,0.00935,0.03408,0.02606,0.58349,0.02084,0.68273,0.41402,0.38471,0.26883,0.24669,0.64586,0.34129,0.01424,0.61799,0.73713
0.02989,0.45198,0.02162,0.59814,0.04554,0.07034,0.02078,0.75966,0.04856,0.00315,0.03597,0.66039,0.02421,0.01833,0.05225,0.02938,0.62649,0.01521,0.02485,0.05109,0.72739,0.01814,0.75042,0.55721,0.66118,0.34554,0.67008,0.50189,0.35129,0.06045,0.74914,0.63941
0.03751,0.68742,0.04664,0.58582,0.04495,0.00250,0.02498,0.34431,0.05046,0.04956,0.06443,0.55584,0.01976,0.09146,0.06094,0.01641,0.56682,-0.01609,0.02766,0.05057,0.57272,0.03408,0.70219,0.68778,0.49163,0.56679,0.51169,0.52595,0.30425,0.04743,0.71109,0.56592
0.05399,0.36237,0.02097,0.64627,0.03980,0.06642,0.05582,0.65791,0.00554,0.06256,0.03280,0.44789,0.05986,0.05385,0.02194,0.04461,0.29079,-0.00500,0.00663,0.01505,0.49944,0.02264,0.46919,0.56428,0.60262,0.31325,0.42800,0.61648,0.48420,0.02427,0.55216,0.52601
0.03330,0.51193,-0.01012,0.29542,0.03238,0.03950,0.05997,0.48200,0.00834,0.07374,0.02616,0.55975,0.03083,0.04391,0.04359,0.08109,0.63456,0.00914,0.02186,0.04549,0.61788,0.04647,0.48809,0.50226,0.62639,0.53079,0.43707,0.49520,0.42636,0.03092,0.72361,0.46236
0.02352,0.67407,0.00044,0.60984,0.06098,0.05193,-0.00624,0.43639,-0.00087,-0.00262,0.03819,0.61074,0.03038,0.01316,0.03080,0.03871,0.43892,0.03034,0.02390,0.01447,0.38222,0.05549,0.46193,0.39795,0.72988,0.38837,0.41691,0.57486,0.47175,0.02593,0.36037,0.34992
0.03462,0.72934,-0.00672,0.57384,0.03564,0.02982,0.00965,0.70358,0.03262,0.01656,0.04063,0.36226,0.06045,0.03425,0.01530,0.02014,0.25179,0.06851,-0.00315,0.00053,0.45230,-0.00152,0.38778,0.47072,0.41242,0.55057,0.53817,0.60874,0.43435,0.04448,0.50592,0.48334
0.04253,0.58859,0.06500,0.45939,0.06344,0.03053,0.01206,0.39263,0.01841,0.02713,0.00260,0.42846,0.02607,0.02482,0.02734,0.01847,0.31723,0.03174,-0.00311,0.03815,0.60290,0.02058,0.70027,0.75151,0.56515,0.49317,0.39133,0.27590,0.67729,0.04537,0.70901,0.75293
0.02784,0.35836,0.06344,0.28988,0.02692,0.01642,0.02076,0.59459,0.04114,0.05498,0.03481,0.32799,0.04095,0.04059,0.02481,0.04407,0.27329,-0.00002,0.03137,0.03947,0.29381,0.04124,0.41309,0.38493,0.47984,0.35296,0.33557,0.64120,0.35095,0.04542,0.67007,0.48643
0.05455,0.61391,0.06441,0.33378,0.02475,0.02551,0.02934,0.67871,0.03931,0.02335,0.04294,0.58126,0.02401,0.04804,0.06258,-0.01822,0.40591,0.03620,0.00726,-0.00012,0.69680,0.03752,0.62505,0.42711,0.62609,0.51860,0.64155,0.55608,0.47665,0.01268,0.32033,0.51865
0.07381,0.74931,0.04320,0.24416,0.05024,0.03947,0.01027,0.65192,0.02777,0.02184,0.03337,0.56782,0.04475,0.01228,0.06020,0.01043,0.36304,0.01116,0.04649,0.02820,0.58340,0.02710,0.48351,0.60863,0.23797,0.73483,0.35660,0.27451,0.47742,0.02963,0.41476,0.33717
0.02611,0.49097,-0.00560,0.31833,0.00749,0.04267,0.01783,0.71355,0.02702,0.03387,0.00751,0.33576,0.03761,0.05869,0.05698,0.03730,0.53595,-0.00068,0.06450,0.06333,0.63657,0.03578,0.62259,0.44861,0.47948,0.44293,0.65830,0.69787,0.25843,0.03540,0.49183,0.27842
0.04397,0.64830,0.01271,0.69998,0.05652,0.04835,0.07168,0.66205,0.01775,0.06976,-0.00288,0.51209,0.04787,0.01435,0.05163,0.04300,0.27303,0.03492,0.07569,0.02054,0.73428,0.02227,0.50216,0.61685,0.71934,0.67271,0.62604,0.45774,0.31104,0.04540,0.59713,0.29192
0.01800,0.39899,-0.00159,0.29929,0.07823,0.01501,0.04664,0.67486,0.03771,0.01511,0.03900,0.32844,0.01673,0.02230,0.03154,0.00083,0.59474,0.01630,0.04277,-0.00409,0.44924,0.03270,0.41974,0.52825,0.35577,0.48126,0.29919,0.35344,0.63996,0.02139,0.48312,0.64352
0.05084,0.51817,0.05909,0.68054,0.04520,0.03036,0.02678,0.54376,0.08454,0.02745,0.04779,0.39367,0.04093,0.04211,0.00245,-0.00930,0.35572,0.02545,0.04847,0.01722,0.61760,0.02214,0.60838,0.21250,0.70671,0.57751,0.44801,0.52705,0.27315,0.00326,0.57357,0.59471
0.00971,0.48733,0.07075,0.49342,0.02508,0.00441,0.04791,0.77234,0.05129,0.04222,0.02771,0.34706,0.03316,0.02068,0.00120,0.02378,0.31875,0.05925,0.05549,0.02517,0.32100,0.01979,0.48951,0.52461,0.76832,0.56764,0.46876,0.53794,0.39694,0.01169,0.54050,0.27883
0.04198,0.63945,0.00233,0.48307,0.03215,0.04924,0.05459,0.65038,0.02935,0.05612,-0.00309,0.66000,0.04292,0.07801,0.03409,0.04393,0.38924,0.03595,0.00547,0.02731,0.67605,0.03233,0.34205,0.48623,0.56915,0.54377,0.50337,0.27443,0.43844,0.01803,0.74066,0.23047
0.00773,0.60103,-0.00668,0.52613,0.08657,0.03142,-0.00813,0.33363,-0.00915,0.03480,0.00654,0.47993,0.04659,0.03039,0.02411,0.01422,0.58741,0.03706,0.03676,0.03578,0.31085,0.02617,0.60718,0.70738,0.64734,0.28133,0.32263,0.69527,0.53465,0.03336,0.48334,0.38297
