emg0,imu1_ax,imu1_ay,imu1_az,imu1_gx,imu1_gy,imu1_gz,imu2_ax,imu2_ay,imu2_az,imu2_gx,imu2_gy,imu2_gz
0.07701,1.47302,0.01325,9.70706,-0.03632,-0.00042,-0.01110,-4.24902,0.01002,8.79195,-0.02157,0.01673,0.02849
0.03259,1.47022,0.01450,9.68532,0.15483,-0.01883,0.01720,-4.26973,0.01159,8.82663,0.19468,0.00346,0.01607
0.00086,1.46698,0.00430,9.71215,0.18291,0.01143,-0.00427,-4.29305,-0.00317,8.80984,0.15025,-0.02193,0.02173
0.01485,1.46072,-0.01587,9.71063,0.20678,0.02931,-0.00221,-4.25594,0.00684,8.79653,0.18488,-0.01187,-0.00309
0.02872,1.46797,0.00612,9.69578,0.19773,-0.02656,0.03823,-4.25401,0.02877,8.81475,0.19295,-0.01395,-0.01337
0.00160,1.44882,-0.00260,9.70393,0.16706,0.00590,0.00776,-4.24167,0.00448,8.83042,0.16384,-0.03633,-0.03677
0.00612,1.46504,0.02676,9.65716,0.22663,-0.01851,-0.00364,-4.26187,0.01053,8.81149,0.20219,-0.01283,-0.04561
0.02836,1.45492,0.01715,9.69702,0.18966,0.01709,0.03232,-4.26720,0.01475,8.81103,0.19213,0.03199,0.02136
0.03410,1.46887,0.01101,9.69488,0.18348,-0.00672,0.02304,-4.24939,0.00721,8.80962,0.19547,-0.02616,-0.03837
0.03953,1.46450,0.00659,9.72775,0.17810,0.01706,-0.02414,-4.26419,0.01590,8.81405,0.21352,-0.00192,0.03531
0.02211,1.47031,0.03891,9.71154,0.18068,-0.00973,-0.00901,-4.24632,0.01201,8.80955,0.17876,0.01686,0.03618
0.06124,1.47526,0.00876,9.69182,0.17867,-0.02650,-0.03204,-4.25309,0.01136,8.82771,0.21534,-0.01126,0.01009
0.01947,1.46452,0.01366,9.70485,0.19130,0.00121,-0.00862,-4.26874,0.03763,8.87734,0.16768,0.02663,0.00934
0.01310,1.47434,0.03213,9.66825,0.17269,0.00433,0.02436,-4.27857,0.01924,8.80229,0.16141,0.01005,0.01176
0.06277,1.46500,0.01327,9.70866,0.16360,0.01270,0.01557,-4.26374,0.02748,8.87005,0.15971,-0.01739,-0.00297
0.01908,1.45111,0.01666,9.74044,0.18812,-0.00210,-0.00933,-4.26337,0.04050,8.84776,0.17723,0.00594,-0.00071
0.01428,1.46445,0.01993,9.73251,0.20041,0.00165,0.01344,-4.27149,0.02484,8.84393,0.19490,0.00638,-0.00210
0.02541,1.46541,0.03340,9.68129,0.18017,0.03096,0.01298,-4.28893,0.03048,8.83280,0.15408,0.01082,0.01106
0.03168,1.45188,0.00895,9.68531,0.18333,-0.03979,-0.02459,-4.26400,0.03331,8.83799,0.18533,0.02392,0.03517
0.03915,1.44989,0.01913,9.66583,0.15384,-0.02654,-0.00788,-4.28456,0.02732,8.83368,0.24288,-0.02203,0.01690
0.04596,1.46183,0.02850,9.73882,0.20387,0.00980,-0.00122,-4.25836,0.03070,8.82515,0.16429,-0.02098,-0.00298
0.02934,1.45661,0.03971,9.69336,0.16995,-0.00633,-0.01750,-4.26335,0.03670,8.83039,0.18196,0.01231,-0.02158
0.04296,1.45961,0.03617,9.71867,0.18586,-0.01003,-0.01545,-4.26773,0.03427,8.83818,0.18215,0.00058,-0.02410
0.00785,1.47407,0.05132,9.68876,0.18240,-0.00522,0.01872,-4.28117,0.05245,8.84057,0.15644,-0.02002,-0.00746
