emg0,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz
0.05003,0.00126,0.20274,9.84220,0.28124,-0.03781,0.01789
0.02677,0.00279,0.21164,9.82313,0.30221,-0.01477,-0.02029
-0.00922,-0.00874,0.21809,9.81148,0.29416,-0.01728,0.02810
0.06671,0.00518,0.20248,9.82565,0.27773,0.01137,-0.03029
0.05032,0.00025,0.18219,9.79792,0.27074,-0.02696,-0.02762
0.00179,0.00350,0.20819,9.82277,0.30699,0.01300,0.00957
0.02137,0.01005,0.20198,9.82526,0.32663,-0.01120,-0.00948
0.02911,0.00836,0.20836,9.83853,0.29810,-0.02846,-0.01064
0.04263,-0.00335,0.20853,9.81349,0.29844,0.01368,0.03829
0.01008,-0.00138,0.19168,9.82905,0.28863,-0.00141,0.01499
0.02972,0.01792,0.20809,9.79791,0.31324,0.06804,-0.00872
0.01589,0.01603,0.20893,9.81547,0.27974,0.01807,0.00762
-0.00747,0.00081,0.20097,9.80767,0.29441,-0.02975,-0.01533
0.03060,0.01429,0.20689,9.76248,0.31416,0.01112,-0.01100
0.04916,0.02649,0.20578,9.79776,0.28232,-0.02100,0.01944
0.05897,0.00927,0.18790,9.82770,0.29998,0.04567,0.00562
0.04978,0.00007,0.21916,9.82460,0.30790,-0.00277,-0.00755
0.03848,0.00853,0.19478,9.78504,0.30380,-0.00383,0.04041
0.03361,0.02057,0.19915,9.79670,0.27519,0.06044,-0.01264
0.01316,0.01412,0.20491,9.79599,0.32253,0.00176,0.01400
0.00733,0.00413,0.21641,9.78781,0.31316,0.00635,-0.00677
0.00684,0.02185,0.19486,9.77547,0.30583,0.00459,-0.01216
-0.00115,0.01477,0.18417,9.81665,0.27315,-0.05104,0.01654
0.03695,0.01572,0.19421,9.81801,0.32011,-0.01425,0.00762
0.04167,0.00629,0.20813,9.79065,0.37208,0.02378,0.02713
-0.00241,0.01528,0.19508,9.79619,0.30102,-0.00565,0.00405
0.04200,0.01152,0.20233,9.78847,0.25528,0.02336,0.02547
0.03582,0.01744,0.20692,9.83581,0.29459,-0.03205,-0.00870
-0.00370,0.00722,0.20350,9.80065,0.30764,-0.00199,0.01055
0.05999,0.01413,0.20501,9.82160,0.29012,-0.02304,-0.01556
0.00653,0.00803,0.20618,9.80461,0.29655,-0.01444,-0.02368
0.04218,0.00786,0.21525,9.82988,0.30939,0.06661,-0.00065
0.02080,0.02271,0.21882,9.79320,0.31356,-0.01321,0.02075
0.06780,-0.00701,0.18091,9.80858,0.29753,0.00690,-0.01539
